sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.001_4x_17.hist	65956270	13587972	3069783	1125692	642133	406286	450586	369291	145407	74156	78313	88493	123032	120452	62329	19831	11431	13858	29174	71812	62898	19654	8516	16557	13825	7680	9069	24185	44121	22059	6535	1940	775	88	27	0	18756	35738	7146	396	131	52	26	9	0	0	0	0	0	48349	117328046
moss_0.001_2x_17.hist	67192611	9709610	2267730	832061	461632	292842	359935	321525	129087	147675	112566	55514	28506	47068	58398	84504	74155	30896	4914	2674	4709	7708	36616	71198	30153	16750	3781	1216	404	201	58	16	17585	52755	16784	1048	300	162	31	0	0	0	0	0	0	0	0	0	0	55750	107310297
moss_0.001_1x_17.hist	57346568	9828461	1651318	711744	403333	254323	414893	352441	138772	70773	34265	16898	19981	32992	40934	59233	93954	108360	17238	9384	6086	1900	822	239	252	805	1915	5108	78345	39171	11605	3447	1377	157	49	2	0	0	0	0	0	0	0	0	0	0	0	0	0	61435	100314927
moss_0.0_4x_30.hist	52047602	7612997	1630572	681980	353900	219032	229780	205258	160190	81696	72600	82037	81048	44802	26521	38376	55065	22942	14535	35778	42438	13260	10290	20008	23257	12919	2916	938	22281	17813	5276	1566	711	2132	26042	1626	466	253	49	1123	15601	6393	3392	1271	210	69	30	9	2	23263	104530929
moss_0.01_8x_30.hist	66440160	5296464	1207776	475470	244375	153481	145122	129635	112084	57162	62743	58627	31625	52217	38953	15431	24476	32674	13177	9034	17064	17792	7709	4104	8770	15397	3475	1118	7310	9554	2829	839	7319	6535	2078	128	36	10880	3184	175	57	22	5605	4693	781	259	115	37	11	10411	102726046
moss_0.01_4x_17.hist	71837294	12336823	2221621	861128	477179	297190	221367	108760	98349	112510	131239	64723	24848	27466	34078	49312	70202	29250	4652	3650	6895	11287	53613	29416	1729	959	215	68	1731	24236	15261	4533	1812	208	65	3	0	17299	14781	820	272	110	57	20	2	0	0	0	0	28321	113930794
moss_0.0_2x_30.hist	49279895	10792012	1816869	780026	437198	274049	360890	177310	70465	80611	94029	106252	119280	65937	34119	10855	12379	16524	34788	77541	50296	15716	6809	1991	2454	7854	18693	49848	18719	9358	2771	822	328	36	10	0	10131	35912	7181	397	131	52	27	9	0	0	0	0	0	39266	111845495
moss_0.0_1x_17.hist	50830917	2044846	480734	206476	115870	72680	319866	187843	73962	37719	18262	11543	16047	26496	32874	47569	75454	37753	6005	3268	2119	1424	6763	13150	15687	8714	1966	632	209	103	13189	26377	10549	1216	385	23	5	2	0	0	0	0	0	0	0	0	0	0	0	35762	60349883
moss_0.01_2x_17.hist	71402022	12295069	2229383	848584	480192	302558	361553	259462	102162	52101	29546	33386	46416	76640	95090	48811	28137	11722	1864	2457	4640	7596	36080	70155	4125	2291	516	165	54	26	6	0	9708	29124	20069	1253	359	195	38	1	0	0	0	0	0	0	0	0	0	40208	113580595
moss_0.001_2x_30.hist	50931457	10865678	1817279	778733	434208	271394	291152	143046	86574	99040	115526	130544	63736	35232	21375	30930	49061	65494	24806	13504	8758	7592	36061	70118	4123	2289	516	165	2235	31290	21247	6312	2523	290	91	4	0	35386	9059	502	166	67	34	12	1	0	0	0	0	37398	112937829
moss_0.01_8x_17.hist	68969835	20952793	2792573	1181532	635073	388085	193089	172483	241155	122988	59547	67287	93548	54052	27969	30639	48599	64878	14127	7690	10278	16826	65508	19167	1126	624	140	44	32770	21304	6311	1874	748	85	26	9488	17838	9728	1944	107	34	13	6	1	9005	11665	5228	1741	579	3694	106048133
